Time,Channel A,Channel B
(us),(V),(V)

448.01449422,0.08163702,0.00335704
448.33449422,0.12604140,0.00335704
448.65449422,0.12604140,0.00335704
448.97449422,0.08163702,0.00335704
449.29449422,0.08163702,0.00335704
449.61449422,0.08163702,0.00335704
449.93449421,0.08163702,0.00335704
450.25449421,0.12604140,0.00335704
450.57449421,0.12604140,0.00335704
450.89449421,0.08163702,0.00335704
451.21449421,3.28257100,0.00335704
451.53449420,3.28257100,0.00335704
451.85449420,3.28257100,0.00335704
452.17449420,3.28257100,0.00335704
452.49449420,3.28257100,0.00335704
452.81449420,3.28257100,0.00335704
453.13449419,3.28257100,0.00335704
453.45449419,3.28257100,0.00335704
453.77449419,3.28257100,0.00335704
454.09449419,3.28257100,0.00335704
454.41449419,3.28257100,0.00335704
454.73449418,3.28257100,0.00335704
455.05449418,3.28257100,0.00335704
455.37449418,3.28257100,0.00335704
455.69449418,3.28257100,0.00335704
456.01449418,3.28257100,0.00335704
456.33449417,0.08163702,0.00335704
456.65449417,0.12604140,0.00335704
456.97449417,0.08163702,0.00335704
457.29449417,0.08163702,0.00335704
457.61449417,0.12604140,0.00335704
457.93449416,0.12604140,0.00335704
458.25449416,0.12604140,0.00335704
458.57449416,0.08163702,0.00335704
458.89449416,0.08163702,0.00335704
459.21449416,0.08163702,0.00335704
459.53449415,0.08163702,0.00335704
459.85449415,0.12604140,0.00335704
460.17449415,0.12604140,0.00335704
460.49449415,0.12604140,0.00335704
460.81449415,0.08163702,0.00335704
461.13449415,0.08163702,0.00335704
461.45449414,0.08163702,0.00335704
461.77449414,0.12604140,0.04791406
462.09449414,0.12604140,0.00335704
462.41449414,0.12604140,0.00335704
462.73449414,0.08163702,0.00335704
463.05449413,0.08163702,0.00335704
463.37449413,0.12604140,0.00335704
463.69449413,0.08163702,0.00335704
464.01449413,0.12604140,0.00335704
464.33449413,0.08163702,0.00335704
464.65449412,0.08163702,0.00335704
464.97449412,0.08163702,0.00335704
465.29449412,0.08163702,0.00335704
465.61449412,0.08163702,0.00335704
465.93449412,0.12604140,0.00335704
466.25449411,3.28257100,0.00335704
466.57449411,3.28257100,0.00335704
466.89449411,3.28257100,0.00335704
467.21449411,3.28257100,0.00335704
467.53449411,3.28257100,0.00335704
467.85449410,3.28257100,0.00335704
468.17449410,3.28257100,0.00335704
468.49449410,3.28257100,0.00335704
468.81449410,3.28257100,0.00335704
469.13449410,3.28257100,0.00335704
469.45449409,3.28257100,0.00335704
469.77449409,3.28257100,0.00335704
470.09449409,3.28257100,0.00335704
470.41449409,3.28257100,0.00335704
470.73449409,3.28257100,0.00335704
471.05449408,3.28257100,0.00335704
471.37449408,0.08163702,0.00335704
471.69449408,0.12604140,0.00335704
472.01449408,0.08163702,0.00335704
472.33449408,0.08163702,0.00335704
472.65449408,0.08163702,0.00335704
472.97449407,0.12604140,0.00335704
473.29449407,0.12604140,0.00335704
473.61449407,0.12604140,0.00335704
473.93449407,0.08163702,0.00335704
474.25449407,0.08163702,0.00335704
474.57449406,0.08163702,0.00335704
474.89449406,0.12604140,0.00335704
475.21449406,0.08163702,0.00335704
475.53449406,0.12604140,0.00335704
475.85449406,0.08163702,0.00335704
476.17449405,1.63762300,0.00335704
476.49449405,3.28257100,0.00335704
476.81449405,3.28257100,0.00335704
477.13449405,3.28257100,0.04791406
477.45449405,3.28257100,0.00335704
477.77449404,3.28257100,0.00335704
478.09449404,3.28257100,0.00335704
478.41449404,3.28257100,0.00335704
478.73449404,3.28257100,0.00335704
479.05449404,3.28257100,0.00335704
479.37449403,3.28257100,0.00335704
479.69449403,3.28257100,0.00335704
480.01449403,3.28257100,0.00335704
480.33449403,3.28257100,0.00335704
480.65449403,3.28257100,0.00335704
480.97449402,3.28257100,0.00335704
481.29449402,0.12604140,0.00335704
481.61449402,0.08163702,0.00335704
481.93449402,0.12604140,0.00335704
482.25449402,0.08163702,0.00335704
482.57449401,0.12604140,0.00335704
482.89449401,0.12604140,0.00335704
483.21449401,0.12604140,0.00335704
483.53449401,0.12604140,0.00335704
483.85449401,0.08163702,0.00335704
484.17449401,0.08163702,0.00335704
484.49449400,0.12604140,0.00335704
484.81449400,0.08163702,0.00335704
485.13449400,0.08163702,0.00335704
485.45449400,0.08163702,0.00335704
485.77449400,0.12604140,0.00335704
486.09449399,0.08163702,0.00335704
486.41449399,3.28257100,0.00335704
486.73449399,3.28257100,0.00335704
487.05449399,3.28257100,0.00335704
487.37449399,3.28257100,0.00335704
487.69449398,3.28257100,0.00335704
488.01449398,3.28257100,0.00335704
488.33449398,3.28257100,0.00335704
488.65449398,3.28257100,0.00335704
488.97449398,3.28257100,0.00335704
489.29449397,3.28257100,0.00335704
489.61449397,3.28257100,0.00335704
489.93449397,3.28257100,0.00335704
490.25449397,3.28257100,0.00335704
490.57449397,3.32712800,0.00335704
490.89449396,3.28257100,0.00335704
491.21449396,2.61574100,0.04791406
491.53449396,0.12604140,0.00335704
491.85449396,0.08163702,0.00335704
492.17449396,0.12604140,0.04791406
492.49449395,0.12604140,0.00335704
492.81449395,0.12604140,0.00335704
493.13449395,0.08163702,0.00335704
493.45449395,0.08163702,0.00335704
493.77449395,0.12604140,0.00335704
494.09449394,0.12604140,0.04791406
494.41449394,0.12604140,0.00335704
494.73449394,0.08163702,0.00335704
495.05449394,0.08163702,0.00335704
495.37449394,0.08163702,0.00335704
495.69449394,0.08163702,0.00335704
496.01449393,0.12604140,0.00335704
496.33449393,3.28257100,0.00335704
496.65449393,3.28257100,0.00335704
496.97449393,3.28257100,0.00335704
497.29449393,3.28257100,0.00335704
497.61449392,3.28257100,0.00335704
497.93449392,3.28257100,0.00335704
498.25449392,3.28257100,0.00335704
498.57449392,3.28257100,0.00335704
498.89449392,3.28257100,0.00335704
499.21449391,3.28257100,0.00335704
499.53449391,3.28257100,0.00335704
499.85449391,3.28257100,0.00335704
500.17449391,3.28257100,0.00335704
500.49449391,3.28257100,0.00335704
500.81449390,3.28257100,0.00335704
501.13449390,3.28257100,0.00335704
501.45449390,0.12604140,0.00335704
501.77449390,0.12604140,0.00335704
502.09449390,0.12604140,0.00335704
502.41449389,0.12604140,0.00335704
502.73449389,0.08163702,0.00335704
503.05449389,0.08163702,0.00335704
503.37449389,0.08163702,0.00335704
503.69449389,0.08163702,0.00335704
504.01449388,0.08163702,0.00335704
504.33449388,0.12604140,0.00335704
504.65449388,0.08163702,0.00335704
504.97449388,0.08163702,0.00335704
505.29449388,0.08163702,0.00335704
505.61449387,0.12604140,0.00335704
505.93449387,0.12604140,0.00335704
506.25449387,0.08163702,0.00335704
506.57449387,3.28257100,0.00335704
506.89449387,3.28257100,0.00335704
507.21449387,3.28257100,0.00335704
